stock,entry_date,exit_date,entry_price,exit_price,shares,days_held,investment,exit_value,pnl,pnl_percent,entry_rsi,exit_rsi,entry_ml_prediction,entry_ml_confidence,exit_ml_prediction,exit_ml_confidence,buy_reason,sell_reason,profitable
RELIANCE.NS,2025-02-13 00:00:00+05:30,2025-02-20 00:00:00+05:30,1216.0999755859375,1233.0,8.223008141400406,5,10000,10138.9690383467,138.96903834670047,1.3896903834670047,,40.30430467180251,1.0,0.82,0.0,0.7488888888888888,ML-only BUY (82.0%),Holding Period Exceeded (5 days),True
RELIANCE.NS,2025-03-05 00:00:00+05:30,2025-03-12 00:00:00+05:30,1175.5999755859375,1257.050048828125,8.50629483469991,5,10000,10692.83833730595,692.8383373059496,6.928383373059496,28.64999176528218,59.15505919206267,1.0,0.86,0.0,0.72,ML-only BUY (86.0%),Holding Period Exceeded (5 days),True
RELIANCE.NS,2025-03-19 00:00:00+05:30,2025-03-26 00:00:00+05:30,1247.1500244140625,1273.050048828125,8.018281525270556,5,10000,10207.673687263334,207.6736872633337,2.076736872633337,55.39392319508339,57.88369210457513,1.0,0.8583333333333333,1.0,0.716,ML-only BUY (85.8%),Holding Period Exceeded (5 days),True
RELIANCE.NS,2025-04-08 00:00:00+05:30,2025-04-17 00:00:00+05:30,1182.199951171875,1274.5,8.458805966018977,5,10000,10780.748203691186,780.7482036911861,7.80748203691186,35.76277657648248,58.85954077124965,1.0,0.95,1.0,0.86,ML-only BUY (95.0%),Holding Period Exceeded (5 days),True
RELIANCE.NS,2025-04-22 00:00:00+05:30,2025-04-29 00:00:00+05:30,1291.199951171875,1399.699951171875,7.744733874040299,5,10000,10840.303625333372,840.3036253333721,8.40303625333372,61.34339582561424,76.53954204922074,1.0,0.8683333333333333,1.0,0.89,ML-only BUY (86.8%),Holding Period Exceeded (5 days),True
RELIANCE.NS,2025-05-13 00:00:00+05:30,2025-05-16 00:00:00+05:30,1415.699951171875,1456.4000244140625,7.063643670908014,3,10000,10287.49081476267,287.4908147626702,2.874908147626702,64.74513474633378,69.92412727579102,1.0,0.8295833333333333,0.0,0.7688888888888888,ML-only BUY (83.0%),Traditional SELL + ML DOWN (76.9%),True
RELIANCE.NS,2025-05-20 00:00:00+05:30,2025-05-27 00:00:00+05:30,1424.5999755859375,1422.0999755859375,7.019514369910755,5,10000,9982.451214075223,-17.548785924776894,-0.17548785924776894,61.343087853330815,58.02990269865391,1.0,0.8195833333333333,0.0,0.7384166666666667,ML-only BUY (82.0%),Holding Period Exceeded (5 days),False
