stock,entry_date,exit_date,entry_price,exit_price,shares,days_held,investment,exit_value,pnl,pnl_percent,entry_rsi,exit_rsi,buy_reason,sell_reason,profitable
RELIANCE.NS,2025-07-22 00:00:00+05:30,2025-07-29 00:00:00+05:30,1412.800048828125,1417.0999755859375,7.0781424507273325,5,10000,10030.43549411949,30.435494119490613,0.30435494119490614,32.096497363288876,40.35384613970542,RSI Oversold (32.1) + Bullish Trend,Holding Period Exceeded (5 days),True
RELIANCE.NS,2025-07-31 00:00:00+05:30,2025-08-01 00:00:00+05:30,1390.199951171875,1393.699951171875,7.193209862775824,1,10000,10025.176234519715,25.176234519714853,0.2517623451971486,34.87424338703124,36.11282946724497,RSI Oversold (34.9) + Bullish Trend,Bearish MA Crossover,True
