stock,entry_date,exit_date,entry_price,exit_price,shares,days_held,investment,exit_value,pnl,pnl_percent,entry_rsi,exit_rsi,entry_ml_prediction,entry_ml_confidence,exit_ml_prediction,exit_ml_confidence,buy_reason,sell_reason,profitable
HDFCBANK.NS,2025-02-03 00:00:00+05:30,2025-02-06 00:00:00+05:30,1659.7410888671875,1724.87451171875,6.02503611381052,3,10000,10392.431224896756,392.43122489675625,3.9243122489675626,,,1.0,0.8466666666666666,0.0,0.8491666666666667,ML-only BUY (84.7%),ML-only SELL (84.9%),True
HDFCBANK.NS,2025-02-11 00:00:00+05:30,2025-02-18 00:00:00+05:30,1682.886474609375,1704.3009033203125,5.942171471977134,5,10000,10127.24820737482,127.24820737481969,1.272482073748197,,,1.0,0.9292307692307692,1.0,0.75,ML-only BUY (92.9%),Holding Period Exceeded (5 days),True
HDFCBANK.NS,2025-02-20 00:00:00+05:30,2025-02-28 00:00:00+05:30,1668.7420654296875,1713.5491943359375,5.992537856607026,5,10000,10268.508416216575,268.5084162165749,2.6850841621657495,43.037911447767776,59.79689604807024,1.0,0.8592307692307692,0.0,0.73,ML-only BUY (85.9%),Holding Period Exceeded (5 days),True
HDFCBANK.NS,2025-03-03 00:00:00+05:30,2025-03-07 00:00:00+05:30,1683.034912109375,1670.86865234375,5.941647394269936,4,10000,9927.712374365563,-72.28762563443706,-0.7228762563443706,49.673943828653194,46.24791600458127,1.0,0.82,0.0,0.85,ML-only BUY (82.0%),ML-only SELL (85.0%),False
HDFCBANK.NS,2025-03-13 00:00:00+05:30,2025-03-21 00:00:00+05:30,1688.02978515625,1751.086181640625,5.924066084577035,5,10000,10373.550259828728,373.5502598287276,3.7355025982872756,52.3212479750165,68.95864586790843,1.0,0.8133333333333332,1.0,0.8713888888888888,ML-only BUY (81.3%),Holding Period Exceeded (5 days),True
HDFCBANK.NS,2025-03-24 00:00:00+05:30,2025-04-01 00:00:00+05:30,1780.41357421875,1748.6134033203125,5.61667252193807,5,10000,9821.388853921811,-178.61114607818854,-1.7861114607818855,74.08153345885447,54.81602052085553,1.0,0.8691666666666665,1.0,0.938119658119658,ML-only BUY (86.9%),Holding Period Exceeded (5 days),False
HDFCBANK.NS,2025-04-07 00:00:00+05:30,2025-04-16 00:00:00+05:30,1738.57373046875,1857.5648193359373,5.751841193012749,5,10000,10684.417846547729,684.4178465477289,6.844178465477289,49.871625370473765,67.592250550784,1.0,0.8692307692307693,1.0,0.8991666666666666,ML-only BUY (86.9%),Holding Period Exceeded (5 days),True
HDFCBANK.NS,2025-04-29 00:00:00+05:30,2025-04-30 00:00:00+05:30,1888.0296630859373,1904.0533447265625,5.29652695374248,1,10000,10084.869861707759,84.8698617077589,0.848698617077589,62.77152505926788,64.9422196419539,1.0,0.82,0.0,0.8266666666666665,ML-only BUY (82.0%),ML-only SELL (82.7%),True
HDFCBANK.NS,2025-05-09 00:00:00+05:30,2025-05-12 00:00:00+05:30,1869.137451171875,1935.9029541015625,5.350061331086377,1,10000,10357.199535474656,357.19953547465593,3.571995354746559,52.935686070706424,63.15544137996219,1.0,0.83,0.0,0.84,ML-only BUY (83.0%),ML-only SELL (84.0%),True
HDFCBANK.NS,2025-05-14 00:00:00+05:30,2025-05-19 00:00:00+05:30,1889.81005859375,1917.604248046875,5.2915370804202535,3,10000,10147.073984111437,147.0739841114373,1.4707398411143733,54.22746149837826,58.365351843186666,1.0,0.83,0.0,0.82,ML-only BUY (83.0%),ML-only SELL (82.0%),True
HDFCBANK.NS,2025-05-20 00:00:00+05:30,2025-05-26 00:00:00+05:30,1894.0633544921875,1919.087890625,5.279654440429779,4,10000,10132.120903313298,132.1209033132982,1.3212090331329818,53.38557365662154,57.62681282098779,1.0,0.84,0.0,0.81,ML-only BUY (84.0%),ML-only SELL (81.0%),True
HDFCBANK.NS,2025-05-28 00:00:00+05:30,2025-06-02 00:00:00+05:30,1902.5697021484373,1911.0760498046875,5.256049220539835,3,10000,10044.709781968275,44.70978196827491,0.44709781968274914,53.59551612348813,54.65022662677915,1.0,0.83,0.0,0.85,ML-only BUY (83.0%),ML-only SELL (85.0%),True
